,Team,Wins,Losses
0,Philadelphia 76ers,49,23
1,Brooklyn Nets,48,24
2,Milwaukee Bucks,46,26
3,New York Knicks,41,31
4,Atlanta Hawks,41,31
5,Miami Heat,40,32
6,Boston Celtics,36,36
7,Washington Wizards,34,38
8,Indiana Pacers,34,38
9,Charlotte Hornets,33,39
10,Chicago Bulls,31,41
11,Toronto Raptors,27,45
12,Cleveland Cavaliers,22,50
13,Orlando Magic,21,51
14,Detroit Pistons,20,52
15,Utah Jazz,52,20
16,Phoenix Suns,51,21
17,Denver Nuggets,47,25
18,Los Angeles Clippers,47,25
19,Dallas Mavericks,42,30
20,Portland Trail Blazers,42,30
21,Los Angeles Lakers,42,30
22,Golden State Warriors,39,33
23,Memphis Grizzlies,38,34
24,San Antonio Spurs,33,39
25,New Orleans Pelicans,31,41
26,Sacramento Kings,31,41
27,Minnesota Timberwolves,23,49
28,Oklahoma City Thunder,22,50
29,Houston Rockets,17,55
30,Philadelphia 76ers,49,23
31,Brooklyn Nets,48,24
32,New York Knicks,41,31
33,Boston Celtics,36,36
34,Toronto Raptors,27,45
35,Milwaukee Bucks,46,26
36,Indiana Pacers,34,38
37,Chicago Bulls,31,41
38,Cleveland Cavaliers,22,50
39,Detroit Pistons,20,52
40,Atlanta Hawks,41,31
41,Miami Heat,40,32
42,Washington Wizards,34,38
43,Charlotte Hornets,33,39
44,Orlando Magic,21,51
45,Utah Jazz,52,20
46,Denver Nuggets,47,25
47,Portland Trail Blazers,42,30
48,Minnesota Timberwolves,23,49
49,Oklahoma City Thunder,22,50
50,Phoenix Suns,51,21
51,Los Angeles Clippers,47,25
52,Los Angeles Lakers,42,30
53,Golden State Warriors,39,33
54,Sacramento Kings,31,41
55,Dallas Mavericks,42,30
56,Memphis Grizzlies,38,34
57,San Antonio Spurs,33,39
58,New Orleans Pelicans,31,41
59,Houston Rockets,17,55
